label,content
ham,Go out wif Chiobu bojio!
ham,Oh. I forgot.
ham,Haha okay la okay. When are you going to thailand again? No school?
ham,Wads ur username?
ham,Enjoy ur holiday..
ham,Jus SMS can but l wan 2 listen 2 ur swe t voice u c
ham,Ok! I take winter melon at home. Weihao reached home?
ham,"I used to score highest in school in geog, its more or less amemorizing subj. Nv taken f&n b4, but sure sounds a lot to rmb aswell. Like I always say, sci n maths don't require any memorizing, getthem right, then u have more time to dedicate to your weaker subjs.Well, its still hols, so enjoy 1st!"
ham,Ok (:
ham,lg in school alr hor?
ham,No bfast.  Doing some filing now... Have a good day.
ham,Eh where michelle studying now ah?
ham,Btwwww go reinstate your facebookkkk
ham,oh
ham,Telemarketin ah... Diff to do anot? Thgt u quite happy w ur telemarketin one... Eh u wan work at cafe cartel?Gee...
ham,Ohh okay! Are you freaking serious hahaha why dun you carry an extrabag in your bag!
ham,Still stuck at nus waiting for bus :-( will left you know at CCK.
ham,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
ham,Ahahha 6pm? 我老母叫你和她一起大搭cab.
ham,aiyah... dun tok to u liaoz lah... u always tok rubbish one... i find u out another day k
ham,R we going with the  <#>  bus?
ham,Nvm it true wad. Help end his misery nia
ham,Oh okay.
ham,I've made a reservation at  <DECIMAL> pm liao.
ham,Haha never mind la first time late lol
ham,R u at home now?
ham,Do u mean we give WPB when they ask for it or request to exchange?
ham,Ok!
ham,Talk to you later
ham,I thought of asking u n si also. Free seating unless we go every early get front seats else not v cheap also. I can get 10% disc.
ham,Keno?amar ph korar blnc nai.tai am msgn u
ham,Hv n awesome dinner sweety! And ur mouse is with me hee
ham,5 reasons y i lyk U 5-ur smile 4-ur behaviour 3-ur jollytype 2-ur caring 1-njan parayunnathu kallamannennu arinjittum ithu vaayikkanulla aa valiya manasum.gudnt
ham,"Call me if u wanna work over this weekend as an exhibition agent ofglobal yellow pages. The rate is $6/hr. At tampines mall. Fri signcontract and short training at 5pm. Sat work from  <#> am to  <#> pm.Sun is from 9am to 5pm. I'll go for all. Haha. But sad to say mustcommit for both days. Then u shld know lah, the faster u can cfm, thehigher chances u can get it."
ham,t come today.
ham,Charge him consulting fees
ham,Haha if dont have then go suntec or raffles to buy lo.
ham,No buses. Need to walk
ham,can help me print lecture notes?
ham,yoyo how are u ?
ham,After your movie you want to play mah?
ham,I am there. Which block?
ham,So how's the weather over there?
ham,m e only son u know.. haha.. y he got so xiang wo meh?
ham,U reach home faster call the mother?
ham,Hey yun... Can you help me print something out tonight and pass to me tmr?
ham,Aiyo
ham,"Opps... Sorry reply so late... I did until 5, e rest not sure how to do..."
ham,channel 8..
ham,U free tml night?
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham,Nop. Only Friday den nid go back!
ham,Eh u when come back. Joel yh not coming 2day zzz
ham,Eh jos ah... U wana meet tmr?
ham,Around wad time u leaving and wad time u wan start?
ham,they released another Italian one today and it has a cosign option
ham,Sure sure man. No problem. Thursday or friday
ham,"gd,, laogong have a good rest k! muggles."
ham,Buy see ü
ham,Ok.he never msg
ham,I am d volunter in carpidem
ham,But da one in da fridge like keep very long oredi... Da mushroom quite nice... Hee...
ham,ah.. wait me i walking to stop
ham,Lol.the first dunno hu sia.nv see b4 eh.first got <#> and 6 better bags.which I think is still cui.2nd <#> and 6 even more cui bag.then u all 3rd lor.got mouse and <#> I think.
ham,I din ask yet... I saw e ad... The one at mohamad sultan nd pple...
ham,Oh ok baby even i jst ate
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
ham,"Haha u nv notice I use the word 'come', means I eating macs now."
ham,Sry Tues pls. Around  <#>  am. Or any other time?
ham,Okay la
ham,At orchard.
ham,m occupied lor... Meetin meijun later... So wat have u been doin...
ham,Am n bus.sithi mre e neme wl cl u
ham,Coming this mon
ham,Can!
ham,V go by our gang?
